iter	Passed	Remaining
0	46	46905
1	47	23594
2	47	15946
3	48	12031
4	48	9679
5	49	8164
6	49	7036
7	50	6257
8	50	5602
9	51	5100
10	52	4677
11	52	4344
12	53	4031
13	53	3762
14	54	3573
15	54	3376
16	55	3194
17	55	3048
18	56	2911
19	56	2778
20	57	2692
21	58	2585
22	58	2496
23	59	2402
24	59	2317
25	59	2237
26	60	2163
27	60	2095
28	60	2031
29	60	1971
30	61	1915
31	61	1863
32	61	1814
33	62	1768
34	62	1724
35	62	1683
36	63	1644
37	63	1607
38	63	1572
39	64	1538
40	69	1625
41	70	1604
42	70	1573
43	71	1545
44	71	1517
45	71	1490
46	72	1464
47	72	1439
48	72	1415
49	73	1392
50	73	1370
51	74	1349
52	74	1329
53	74	1309
54	75	1290
55	75	1272
56	75	1254
57	76	1237
58	76	1221
59	76	1205
60	77	1189
61	77	1174
62	78	1160
63	78	1146
64	78	1133
65	79	1120
66	79	1107
67	79	1094
68	80	1083
69	80	1071
70	80	1059
71	81	1048
72	81	1037
73	82	1027
74	82	1016
75	82	1007
76	83	997
77	83	988
78	83	978
79	84	969
80	84	960
81	84	951
82	85	941
83	85	933
84	85	925
85	86	917
86	86	909
87	86	901
88	87	893
89	87	886
90	88	879
91	88	872
92	88	865
93	89	858
94	89	852
95	89	845
96	90	839
97	90	832
98	90	826
99	91	820
100	91	815
101	91	809
102	92	803
103	92	797
104	92	792
105	93	786
106	93	781
107	94	776
108	94	771
109	94	766
110	95	761
111	95	756
112	95	751
113	96	746
114	96	742
115	96	737
116	97	732
117	97	728
118	97	724
119	98	719
120	98	715
121	98	710
122	99	706
123	99	702
124	99	698
125	100	694
126	100	690
127	100	686
128	101	683
129	101	679
130	101	675
131	102	672
132	102	668
133	102	665
134	103	661
135	103	658
136	103	654
137	104	652
138	104	649
139	105	646
140	108	660
141	108	656
142	109	654
143	109	651
144	112	662
145	112	659
146	113	657
147	113	654
148	117	668
149	117	666
150	118	663
151	118	661
152	121	674
153	122	672
154	122	669
155	123	666
156	126	677
157	126	675
158	127	672
159	129	679
160	129	676
161	130	673
162	130	670
163	131	668
164	132	670
165	133	668
166	133	665
167	133	663
168	137	675
169	137	673
170	138	670
171	141	680
172	141	678
173	142	675
174	142	673
175	143	670
176	148	688
177	148	686
178	149	683
179	150	687
180	151	684
181	151	681
182	153	683
183	153	680
184	153	677
185	154	674
186	154	672
187	154	669
188	155	666
189	155	663
190	155	660
191	156	657
192	156	655
193	157	652
194	157	649
195	157	647
196	158	644
197	158	641
198	158	639
199	159	636
200	159	633
201	159	631
202	160	628
203	160	626
204	160	623
205	161	621
206	161	619
207	161	616
208	162	614
209	162	612
210	163	609
211	163	607
212	163	605
213	164	602
214	164	600
215	164	598
216	165	595
217	165	593
218	165	591
219	166	589
220	166	587
221	166	584
222	167	582
223	167	580
224	167	578
225	168	576
226	168	574
227	168	572
228	169	570
229	169	568
230	170	566
231	170	563
232	170	561
233	171	559
234	171	558
235	171	556
236	172	554
237	172	552
238	172	550
239	173	548
240	173	546
241	173	544
242	174	542
243	174	540
244	174	538
245	175	537
246	175	535
247	175	533
248	176	531
249	176	529
250	176	528
251	177	526
252	177	524
253	177	522
254	178	521
255	178	519
256	179	518
257	179	516
258	179	514
259	180	512
260	180	511
261	180	509
262	181	507
263	181	506
264	181	504
265	182	503
266	182	501
267	183	499
268	183	498
269	183	496
270	184	495
271	184	493
272	184	492
273	185	490
274	185	488
275	185	487
276	186	485
277	186	484
278	186	482
279	187	481
280	187	479
281	187	478
282	188	476
283	188	475
284	188	474
285	189	472
286	189	471
287	190	469
288	190	468
289	190	466
290	191	465
291	191	464
292	191	462
293	192	461
294	192	459
295	192	458
296	193	457
297	193	455
298	193	454
299	194	453
300	194	451
301	194	450
302	195	449
303	195	447
304	195	446
305	196	445
306	196	443
307	197	442
308	197	441
309	197	440
310	198	438
311	198	437
312	198	436
313	199	434
314	199	433
315	199	432
316	200	431
317	200	430
318	200	429
319	201	427
320	201	426
321	202	425
322	202	424
323	202	423
324	203	422
325	203	420
326	204	419
327	204	418
328	204	417
329	205	416
330	205	415
331	205	414
332	206	413
333	206	412
334	206	410
335	207	409
336	207	408
337	208	407
338	208	406
339	208	405
340	209	404
341	209	403
342	209	402
343	210	401
344	210	400
345	211	398
346	211	398
347	211	396
348	212	396
349	212	394
350	213	393
351	213	392
352	213	391
353	214	390
354	214	389
355	214	388
356	215	387
357	215	386
358	215	385
359	216	384
360	216	383
361	217	382
362	217	381
363	217	380
364	218	379
365	218	378
366	218	377
367	219	376
368	219	375
369	220	374
370	220	373
371	220	373
372	221	372
373	221	371
374	222	370
375	222	369
376	222	368
377	223	367
378	223	366
379	223	365
380	224	364
381	224	363
382	225	362
383	225	361
384	225	360
385	226	359
386	226	358
387	226	358
388	227	357
389	227	356
390	228	355
391	228	354
392	228	353
393	229	352
394	229	351
395	229	350
396	230	349
397	230	348
398	230	347
399	231	346
400	231	346
401	232	345
402	232	344
403	232	343
404	233	342
405	233	341
406	233	340
407	234	339
408	234	339
409	235	338
410	235	337
411	235	336
412	236	335
413	236	334
414	236	333
415	237	333
416	237	332
417	238	331
418	238	330
419	238	329
420	239	328
421	239	327
422	239	327
423	240	326
424	240	325
425	240	324
426	241	323
427	241	323
428	242	322
429	242	321
430	242	320
431	243	319
432	243	318
433	243	318
434	244	317
435	244	316
436	245	315
437	245	314
438	245	314
439	246	313
440	246	312
441	246	311
442	247	310
443	247	310
444	247	309
445	248	308
446	248	307
447	249	306
448	249	306
449	249	305
450	250	304
451	250	303
452	250	303
453	251	302
454	251	301
455	252	300
456	252	300
457	252	299
